# ID,Mahalanobis,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor (CBLOF),Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Average KNN,Local Outlier Factor
peptide_408,0,0,0,0,0,0,0,0,0
peptide_409,0,0,0,0,0,1,0,0,0
peptide_410,0,1,0,0,0,0,0,0,0
peptide_411,0,0,0,0,0,0,0,0,0
peptide_412,0,0,0,0,0,0,0,0,0
peptide_413,0,0,0,0,0,0,0,0,0
peptide_414,0,0,0,0,0,0,0,0,0
peptide_415,0,0,0,0,0,0,0,0,0
peptide_416,0,0,0,0,0,0,0,0,0
peptide_417,0,1,0,0,0,0,0,0,1
peptide_418,0,0,0,0,0,0,0,0,0
peptide_419,0,0,0,0,0,0,0,0,0
peptide_420,0,0,0,0,0,0,0,0,0
peptide_421,0,0,0,0,0,0,0,0,0
peptide_422,0,0,0,0,0,0,0,0,0
peptide_423,0,0,0,0,0,0,0,0,0
peptide_424,0,0,0,0,0,0,0,0,0
peptide_425,0,0,0,0,0,0,0,0,0
peptide_426,0,0,0,0,0,0,0,0,0
peptide_427,0,0,1,0,0,0,0,0,0
peptide_428,0,0,1,0,0,0,0,0,0
peptide_429,0,0,0,0,0,0,0,0,0
peptide_430,0,0,0,0,0,0,0,0,0
peptide_431,0,0,0,0,0,0,0,0,0
peptide_432,0,0,0,0,0,0,0,0,0
peptide_433,0,0,0,0,0,0,0,0,0
peptide_434,0,0,0,0,0,0,0,0,0
peptide_435,0,0,0,0,0,0,0,0,0
peptide_436,0,0,0,0,0,0,0,0,0
peptide_437,0,0,0,0,0,0,0,0,0
peptide_438,0,0,0,0,0,0,0,0,0
peptide_439,0,0,0,0,0,0,0,0,0
peptide_440,0,0,0,0,0,0,0,0,0
peptide_441,0,0,0,0,0,0,0,0,0
peptide_442,0,0,0,0,0,0,0,0,0
peptide_443,0,0,0,0,0,0,0,0,0
peptide_444,1,0,0,0,0,0,0,0,0
peptide_445,0,0,0,0,0,0,0,0,0
peptide_446,0,0,0,0,0,0,0,0,0
peptide_447,0,0,0,0,0,0,0,0,0
peptide_448,0,0,0,0,0,0,0,0,0
peptide_449,0,0,0,0,0,0,0,0,0
peptide_450,0,0,0,0,0,0,0,0,0
peptide_451,0,0,0,0,0,0,0,0,0
peptide_452,0,0,0,0,0,0,0,0,0
peptide_453,1,0,0,0,0,0,0,0,0
peptide_454,0,0,0,0,0,0,0,0,0
peptide_455,0,0,0,0,0,0,0,0,0
peptide_456,0,0,0,0,0,0,0,0,0
peptide_457,0,0,0,0,0,0,0,0,0
peptide_458,0,0,0,0,0,0,0,0,0
peptide_459,0,0,0,0,0,0,0,0,0
peptide_460,0,1,1,1,1,0,1,0,0
peptide_461,0,0,0,0,0,0,0,0,0
peptide_462,0,0,0,0,0,0,0,0,0
peptide_463,0,0,0,0,0,0,0,0,0
peptide_464,0,0,0,0,0,0,0,0,0
peptide_465,0,0,0,0,0,0,0,0,0
peptide_466,0,0,0,0,0,0,0,0,0
peptide_467,0,0,0,0,0,0,0,0,0
peptide_468,0,0,0,0,0,0,0,0,0
peptide_469,0,0,0,0,0,0,0,0,0
peptide_470,0,0,0,0,0,0,0,0,0
peptide_471,0,0,0,0,0,0,0,0,0
peptide_472,0,0,0,0,0,0,0,0,0
peptide_473,0,1,1,0,0,0,0,0,0
peptide_474,1,0,0,0,0,0,0,0,0
peptide_475,0,0,0,0,0,0,0,0,0
peptide_476,0,0,0,0,0,0,0,0,0
peptide_477,1,0,0,0,0,0,0,0,0
peptide_478,0,0,0,0,0,0,0,0,0
peptide_479,0,0,0,0,0,0,0,0,0
peptide_480,0,0,0,0,0,0,0,0,0
peptide_481,0,0,0,0,0,0,0,0,0
peptide_482,0,0,0,0,0,0,0,0,1
peptide_483,0,0,0,0,0,0,0,0,0
peptide_484,0,0,0,0,0,0,0,0,0
peptide_485,0,0,0,0,0,0,0,0,0
peptide_486,0,0,0,0,0,0,0,0,0
peptide_487,0,0,0,0,0,0,0,0,0
peptide_488,0,0,0,0,0,0,0,0,0
peptide_489,0,0,0,0,0,0,0,0,0
peptide_490,0,0,0,0,0,0,0,0,0
peptide_491,0,0,0,0,0,0,0,0,0
peptide_492,0,0,0,0,0,0,0,0,0
peptide_493,0,0,0,0,0,0,0,0,0
peptide_494,0,0,0,0,0,0,0,0,0
peptide_495,0,0,0,0,0,0,0,0,0
peptide_496,0,0,0,0,0,0,0,0,0
peptide_497,0,0,0,0,0,0,0,0,0
peptide_498,0,0,0,0,0,0,0,0,0
peptide_499,0,0,0,0,0,0,0,0,0
peptide_500,0,0,0,0,0,0,0,0,0
peptide_501,0,0,0,0,0,0,0,0,0
peptide_502,0,0,0,0,0,0,0,0,0
peptide_503,0,0,0,0,0,0,0,0,0
peptide_504,0,0,0,0,0,0,0,0,0
peptide_505,0,0,0,0,0,0,0,0,0
peptide_506,0,0,0,0,0,0,0,0,0
peptide_507,0,0,0,0,0,0,0,0,0
peptide_508,0,0,0,0,0,0,0,0,0
peptide_509,1,0,0,0,0,0,0,0,0
peptide_510,0,0,0,0,0,0,0,0,0
peptide_511,0,0,0,0,0,0,0,0,0
peptide_512,0,0,0,0,0,0,0,0,0
peptide_513,0,0,0,0,0,0,0,0,0
peptide_514,0,0,0,0,0,0,0,0,0
peptide_515,0,0,0,0,0,0,0,0,0
peptide_516,0,0,0,0,0,0,0,0,0
peptide_517,0,0,0,0,0,0,0,0,0
peptide_518,0,0,0,0,0,0,0,0,0
peptide_519,0,0,0,0,0,0,0,0,0
peptide_520,0,0,0,0,0,0,0,0,0
peptide_521,0,0,0,0,0,0,0,0,0
peptide_522,0,0,0,0,0,0,0,0,0
peptide_523,0,0,0,0,0,0,0,0,0
peptide_524,0,1,0,0,0,0,0,0,0
peptide_525,0,0,0,0,0,0,0,0,0
peptide_526,1,0,0,0,0,0,0,0,0
peptide_527,0,0,0,0,0,0,0,0,0
peptide_528,0,0,0,0,0,0,0,0,0
peptide_529,0,0,0,0,0,0,0,0,0
peptide_530,0,0,0,0,0,0,0,0,0
peptide_531,0,0,0,0,0,0,0,0,0
peptide_532,0,0,0,0,0,0,0,0,0
peptide_533,0,1,1,1,1,1,1,1,1
peptide_534,0,1,0,1,0,0,0,0,1
peptide_535,0,0,0,0,0,0,0,0,0
peptide_536,0,0,0,1,0,0,0,0,1
peptide_537,0,0,0,0,0,0,0,0,0
peptide_538,0,0,0,0,0,0,0,0,0
peptide_539,0,0,0,0,0,0,0,0,0
peptide_540,0,0,0,0,1,0,0,0,0
peptide_541,0,0,0,0,0,0,0,0,0
peptide_542,0,0,0,0,0,0,0,0,0
peptide_543,0,0,0,0,1,1,0,0,0
peptide_544,0,0,0,0,0,0,0,0,0
peptide_545,0,0,0,0,0,0,0,0,0
peptide_546,0,0,0,0,0,0,0,0,0
peptide_547,0,0,0,0,0,0,0,0,0
peptide_548,1,0,1,0,1,1,0,0,0
peptide_549,0,0,1,0,0,1,0,0,0
peptide_550,0,0,0,0,0,0,0,0,0
peptide_551,0,0,0,0,0,0,0,0,0
peptide_552,0,0,0,0,0,0,0,0,0
peptide_553,0,0,0,1,0,0,0,0,1
peptide_554,0,0,0,0,0,0,0,0,0
peptide_555,0,0,0,0,0,0,0,0,0
peptide_556,0,0,0,0,0,0,0,0,0
peptide_557,0,0,0,0,0,0,0,0,0
peptide_558,0,0,0,0,0,0,0,0,0
